CollectionObject.nodeId,CollectionObject.uri,CollectionObject.objectNumber,Exhibition.enValue,Exhibition.nodeId
21333c08c662656533b6d9de63661256,https://id.rijksmuseum.nl/20035200,BK-14663,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
4c2d0ed519018162284d9fbf0d991e8f,https://id.rijksmuseum.nl/20015987,BK-1984-114,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
5643297435a6b049c13463082cf6d8d6,https://id.rijksmuseum.nl/20015988,BK-1984-113,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
d3c790b4e9d9d870c9b08750c953e88a,https://id.rijksmuseum.nl/20037194,BK-1984-115,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
107e93c5ee02af1f83169ffb8e2eed95,https://id.rijksmuseum.nl/20037193,BK-1984-116,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
b97574a913c728f61d98fc8e84e51da0,https://id.rijksmuseum.nl/20074698,BK-1984-95-B,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
697a3d926855c9c00b27c1ade5fca634,https://id.rijksmuseum.nl/20029396,BK-1981-37-B,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
6845ae06488bda06da3ec30f52526574,https://id.rijksmuseum.nl/20029442,BK-1980-5,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
3c1c1e0ab8ab88d16d45a431d6f6d4b3,https://id.rijksmuseum.nl/20029680,BK-1985-80,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
9f7c3b78d9ee6129264c34509b6b4fde,https://id.rijksmuseum.nl/20030794,BK-1969-52-A,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
d436a906832bb838640ab1e5f523aa07,https://id.rijksmuseum.nl/20030852,BK-15145,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
248ac5beea3905c8e0eacaf577357931,https://id.rijksmuseum.nl/20035456,BK-1978-431-A,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
dff7cd953732f33f30d350592bd2ca91,https://id.rijksmuseum.nl/20035479,BK-1978-429-A,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
8cd2b79630ee2fd817719c3c00d7e32f,https://id.rijksmuseum.nl/20035482,BK-1978-428-A,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
09b4e92df817fa3c071fc6aa9640f258,https://id.rijksmuseum.nl/20037152,BK-1984-106-A,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
b673498b165e5ecf9bb1e6b9a6fbc1d5,https://id.rijksmuseum.nl/20035152,BK-16115,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
f61691c986d36dcddb77e363c0957f30,https://id.rijksmuseum.nl/20037153,BK-1984-105-A,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
76e1f52f6f80b6dfe53eba54a0b9dea8,https://id.rijksmuseum.nl/20074238,BK-1984-105-B,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
613f862db154a62e6a7b64d0c50a137d,https://id.rijksmuseum.nl/20037280,BK-1974-120-B-1,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
f3cf4ccc92af9ab111bebe857955f377,https://id.rijksmuseum.nl/20037279,BK-1974-120-A-1,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
ecb7fb30c7e6f20c616f57776967d143,https://id.rijksmuseum.nl/20037281,BK-1974-120-C-1,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
0f5477de8feecf3b3f488d70a1c26783,https://id.rijksmuseum.nl/20015998,BK-1978-394,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
22266c801c23276c5805fe5f9f1f5c8b,https://id.rijksmuseum.nl/20074700,BK-1973-504-B,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
5be0b5331349da0fa9936417ddd0bcba,https://id.rijksmuseum.nl/20028629,BK-1967-134-H-1,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
2fb55cdf32db707f2310fc1f78c7cfce,https://id.rijksmuseum.nl/20075295,BK-1967-134-H-2,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
9b2f59546a97cd2f1cf2352c0d4f7b90,https://id.rijksmuseum.nl/20028632,BK-1967-134-J-1,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
660bceaee7718c877bb505d5afb34674,https://id.rijksmuseum.nl/20075297,BK-1967-134-J-2,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
1e5309fc561e5c68e626a1666006028b,https://id.rijksmuseum.nl/20029394,BK-1981-37-A,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
